,index j,Name of City,city id,Lat,Lon,Population (what year?),Status,Average Yearly Budget of a Person to buy Fish,Minimum Fish Consumption,Maximum Fish Consumption,Units,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,Manila,1608618140,14.5958,120.9772,24922000,primary,"4,548.06",,,,0,9.671242233,863.6370208,977.1229455,6.076348504,388.5786158,562.7070773,21.46379106,11.50780471,11.38425773,788.9261574,11.59042634,29.82577892,1047.926321,10.67505276,14.89626057,2.600306458,25.33351133,6.444235214,16.21502167,485.5578468,464.3097004,25.24339564,46.66159719,575.2129077,18.97705347,74.42165198,14.52206531,26.17835304,20.65704954,5.65300148,5.947245479,34.30617085,31.56022171,2.809913781,16.97200409,107.4560999,7.374673759,15.63258709,75.47979001,800.7405831,206.0875472,572.4705155,792.5572264,39.06090787,57.89439941,85.18853234,261.5790212,99.52457825,27.81482789,894.508661,28.14098147,26.07702663,590.6784553,953.5749049,40.60907838,81.48014011,24.99844206,69.44266376,101.388539,19.20186465,573.9583007,32.79234163,79.37650497,18.31638588,573.8147327,8.760190929,560.1908512,15.2065207,61.37466188,868.8160591,36.96408522,798.9445321,338.9331188,959.8566192,551.2759396,816.9010729,162.7557286,4.136475916,550.8997837,994.6268298,60.29985959,494.2575612,847.1791476,994.494538,482.1784252,373.4631229,385.5576218,175.0813975,55.00838162,59.53672622,1033.133883,32.9829567,61.15732391,725.6872252,88.13482387,40.6639146,345.0390128,91.59992876,37.92403253
1,2,Quezon City,1608974097,14.65,121.0475,2960048,admin,"4,198.21",,,,9.671242233,0,868.5791283,978.3458963,8.337438294,381.0569094,563.7836206,15.67122178,14.45784371,10.42969051,790.2789696,9.144952121,37.41717221,1050.012139,17.65095957,22.69237523,9.406099051,18.22638404,10.74789536,23.39555053,487.6872746,467.1527534,30.0238363,49.60012492,575.9861228,27.24501342,74.36201233,5.647942085,35.02089066,11.01809775,12.23795499,8.008159508,37.51529387,35.75398815,7.138028299,12.82072143,105.2280908,9.478471079,11.83159199,79.78907909,800.7488953,201.866423,573.2548757,794.5362741,42.52484158,57.84234281,91.3234452,257.2826832,93.88350243,32.45639025,897.008479,27.00392581,35.29390688,599.3111775,954.3825607,47.28409406,80.8699357,21.11560199,71.08381183,101.0701763,9.552277677,574.9781222,33.26498873,84.92569474,16.08656535,571.9897078,11.53200538,559.1788447,13.75177176,64.96824227,870.0522431,45.36430235,802.0953735,335.2666855,960.8731449,552.4540136,818.9686719,160.6612288,8.670362503,553.8113064,996.8444448,64.3356073,496.7225294,848.2103423,996.1211175,479.5617022,369.8003148,387.0992553,172.7585855,57.30647877,58.4806421,1035.267646,39.2527973,55.62966956,724.9877566,86.05570776,37.29215857,337.4770862,91.75976779,47.31840466
2,3,Zamboanga City,1608189351,6.9042,122.0761,2100000,admin,"4,198.21",,,,863.6370208,868.5791283,0,389.365492,869.7128169,1234.159519,422.0419591,859.6065762,854.2148544,858.3059082,333.3801896,875.0676638,834.9804833,352.7505696,852.962029,849.151183,866.1258081,886.6802365,858.6726516,847.5463325,430.3309825,427.7529876,838.788387,819.4784694,431.3047163,845.9946947,930.8937736,867.8571437,841.4692413,875.3178917,858.2511893,861.1145119,831.1837558,832.8459508,864.066249,858.5104067,967.9933826,870.9656675,858.763458,788.8159059,444.3148205,1069.437469,432.0150828,281.3342779,826.1521188,916.2871387,779.0448139,757.0505306,962.3934241,836.2768065,242.4487181,844.7447784,843.5105797,483.7560851,416.1068348,823.4884582,938.950238,888.5804151,801.0154541,782.8218704,872.7434365,419.0323241,893.5057916,902.8322418,881.9451608,579.1908116,871.9844695,534.5719688,878.8231745,803.8966635,350.7327337,830.662605,181.7582833,715.5490622,400.0869329,423.4412959,272.4740025,1020.878756,861.3772551,351.6620523,309.6143256,804.3024284,412.739236,364.6369025,361.8654381,637.5836462,707.2382272,526.2080937,1033.727369,906.8378208,919.9601465,339.3608213,830.7305232,924.2086455,494.4283406,949.0580686,904.2278605,1191.388283,787.9442672,836.8449639
3,4,Davao,1608906877,7.07,125.6,1776949,admin,"4,198.21",,,,977.1229455,978.3458963,389.365492,0,982.6663996,1283.213096,414.6514832,964.9735796,965.8427724,968.2109749,188.508535,986.857017,954.2257636,115.8220305,967.3260833,965.2419119,979.7060323,994.1322895,970.9301618,963.1872696,495.4747235,524.8658904,952.5923128,930.6570586,403.6627244,963.7629895,1051.45559,975.449879,962.3997357,981.0617859,971.4994833,972.6596702,942.9480031,946.1645125,976.410017,965.9402922,1083.423255,984.176225,966.7058855,904.8962552,208.9183602,1172.773773,406.3090483,196.9041136,938.4105899,1034.987749,904.274915,775.1083915,1063.665825,950.0715171,149.8783253,951.4151043,965.3182699,810.2066943,47.85570916,942.8913541,1058.603073,999.3965398,907.6947464,878.0425609,978.7427201,403.5843734,1009.906504,1039.846034,994.1601687,468.3355498,985.8398034,451.5206321,991.3824683,916.8840323,108.3091618,953.6696318,252.9719292,704.2202827,27.05486443,425.8923627,178.2629349,1138.779889,973.6682828,445.1256444,104.2830427,918.6137209,490.7447222,131.2968697,45.02985064,566.6763328,679.3062724,591.7767339,1150.58823,1030.140161,1036.52731,111.1745368,947.9332587,1029.663893,302.6339078,1064.364937,1015.439061,1245.210571,886.7829967,963.3241953
4,5,Caloocan City,1608897690,14.65,120.97,1661584,admin,"4,198.21",,,,6.076348504,8.337438294,869.7128169,982.6663996,0,382.8843953,568.2051915,23.37182021,16.82470168,15.17772678,794.5006268,5.662848874,35.72865377,1053.672311,16.75084884,20.8685652,3.683600405,19.94287357,11.75667833,22.26501431,491.3047985,470.1895351,31.23329847,52.4404205,580.6274993,24.75706725,69.07068072,13.98538024,31.54707348,17.91378973,11.57859838,10.11250411,40.09070672,37.50129261,6.260911888,19.65821243,101.6104607,1.547165394,18.42901255,81.50119262,805.9262174,200.0275265,577.8882002,798.2782337,44.9138575,52.50742479,91.23714997,264.7992244,93.49299272,33.79972762,900.3349308,32.52779756,31.0824482,595.8534254,959.0057926,46.63826013,75.97924853,18.93370143,74.97802868,106.3730848,17.15167993,579.441435,27.43812547,76.85156636,12.24877587,578.3032896,3.566036446,565.0088556,9.152009169,67.29683003,874.3618028,42.52766484,804.8768925,342.5170805,965.3452786,556.8006609,822.6412371,156.9568059,9.000397622,556.7927224,1000.399471,66.28051452,500.0713431,852.6704992,1000.137981,486.3054094,377.0517946,391.1675452,169.2425515,50.51461904,53.8795365,1038.889721,39.05202645,55.13765859,730.6266342,82.30248175,34.60757663,339.3619032,96.7355759,42.54529784
5,6,Canagatan,1608697675,18,121.8,1273219,0,"3,498.51",,,,388.5786158,381.0569094,1234.159519,1283.213096,382.8843953,0,879.4312772,385.6066821,395.1505439,390.1705107,1102.491322,377.2262235,418.2892616,1370.682574,398.5473327,403.3461444,386.5303903,363.30622,391.7896124,404.3301381,823.7057266,813.7306237,410.412521,425.6685529,885.5749378,407.5553524,342.6335856,379.9162003,414.3361112,371.86295,393.0077771,389.062235,415.5894192,415.2637633,387.1923307,388.0807567,307.7103825,382.0510373,388.2403939,456.447608,1084.681002,218.1988708,883.1879588,1118.21553,420.4266226,351.1648803,471.503879,508.6385588,292.7410064,412.6091697,1227.711647,399.8897792,413.4726446,974.5396256,1251.039366,428.2993865,335.3376798,364.7714644,439.9331085,452.9720632,374.3441205,889.0792139,366.4996694,387.9747188,371.7589876,826.6777007,381.7900739,833.80025,374.7420029,440.8886462,1177.784571,425.4003411,1144.941565,579.6126726,1261.82556,870.4195253,1143.651383,277.2953699,389.4724197,898.5354737,1320.832553,441.3815819,837.147605,1152.400819,1308.80612,724.6402095,606.7382314,720.1134,267.6678622,364.5568981,345.5376984,1357.077201,420.1965824,329.2299907,996.1349145,321.4721532,351.9996205,43.62762997,449.0435655,423.719745
6,7,Cebu City,1608136151,10.32,123.75,964169,admin,"4,198.21",,,,562.7070773,563.7836206,422.0419591,414.6514832,568.2051915,879.4312772,0,550.3415638,551.3873112,553.6806721,227.1731452,572.3367538,540.3299793,492.4597136,553.0000204,551.0317422,565.2841136,579.4957732,556.4826863,548.9600267,95.94073616,136.4564611,538.3112049,516.3435246,21.76333513,549.6788983,637.0954155,560.8402331,548.585078,566.4186515,557.0957368,558.1758258,528.6014701,531.8901982,561.945685,551.3447521,668.8071321,569.7205268,552.121162,491.1604814,248.8140074,758.5170492,19.72235164,238.7864538,524.1166492,620.596323,491.6403209,372.5103112,649.1902496,535.8039945,349.0551057,536.8324246,551.5591616,551.1179941,391.2756927,529.1056497,644.1737117,584.8151775,493.264438,463.3931808,564.1040601,11.71299022,595.499086,627.0770495,579.6335886,170.6108685,571.4064248,121.1483568,576.8763872,502.7794842,306.4161153,540.1362234,279.3170221,312.4653295,397.1544743,12.81263734,264.2360584,724.1473748,559.2118401,108.5866598,441.6559606,504.59736,102.6163713,284.4749064,434.1965201,215.5491609,296.4451688,178.366501,735.9399205,616.0499858,622.0374112,478.4687443,533.9182595,615.0236952,200.0304381,649.7733145,600.8369976,839.7065929,472.1650873,550.0730622
7,8,Antipolo,1608824345,14.5842,121.1763,887399,admin,"4,198.21",,,,21.46379106,15.67122178,859.6065762,964.9735796,23.37182021,385.6066821,550.3415638,0,15.35386948,11.05884948,777.037871,24.73458373,38.03045164,1037.432531,21.94610413,26.51792105,22.81493459,29.17000343,16.9482867,25.86854957,475.2513925,455.4982399,26.46619392,40.50287596,562.2916762,30.99049948,89.22793763,10.99682239,39.15588543,16.26965359,19.35083344,15.7507217,29.99665249,30.10761636,18.85196421,4.999970634,118.4877423,24.7517496,6.261122362,71.52559965,786.4626253,212.6143384,559.5699043,781.8782722,34.82246373,72.82734267,85.98946256,241.6194129,103.2658158,28.14907332,884.8706424,14.86186104,40.69538477,598.7108623,940.6695632,44.89932864,95.41373277,35.05264376,59.37841886,87.0525341,13.83096439,561.4857723,48.68443215,100.1982686,31.24873725,556.7467188,26.85638436,544.307466,29.24879224,56.06589906,856.7007259,47.24532119,790.7030671,319.6068115,947.3285707,539.1015301,806.3949601,173.8066151,17.686999,542.1998947,984.4020197,56.13603384,484.6351556,834.6876435,983.1061583,464.0684617,354.1398877,374.1349026,185.6667891,72.92801368,72.96412129,1022.737138,36.8654267,65.97318129,710.2700884,99.57381529,50.6659166,341.9796459,78.21166044,52.6973508
8,9,Taguig City,1608766695,14.52,121.05,886722,admin,"4,198.21",,,,11.50780471,14.45784371,854.2148544,965.8427724,16.82470168,395.1505439,551.3873112,15.35386948,0,5.330676362,777.6759499,21.38537102,24.22138371,1036.901105,6.649463434,11.21376042,14.00443668,32.68409959,5.111709738,10.83419777,474.5367869,453.5768846,15.56728973,35.77522879,563.8331559,15.79944914,85.82139358,15.42425167,24.02954138,23.47972926,6.331800156,7.010356797,23.48191525,21.37262171,10.57581273,10.42960547,118.3225293,18.33402346,9.363477441,65.49685038,789.2621911,215.987577,561.0927146,781.4921613,28.41508432,69.27143714,76.91362362,251.0233494,108.3084453,18.00241969,883.6387388,17.0754637,25.38765479,586.3439871,942.2062583,33.17834258,92.78941385,34.73493069,58.15334624,89.88086559,21.13709144,562.6266447,44.17052768,89.713433,28.65551347,562.3941415,20.04755257,548.6911974,25.71043777,50.89143651,857.537981,32.98501745,788.3683437,328.0517591,948.5296894,539.9786637,805.866729,173.7049723,7.825518951,540.202086,983.648556,50.09820255,483.3640062,835.8542663,983.3214106,470.9233939,362.5736143,374.3457196,185.9496599,66.48637953,70.70263885,1022.125527,25.04853479,70.01127486,714.1794683,99.03497502,50.84906941,351.5542368,80.10259502,37.46756422
9,10,Pasig City,1608278212,14.5605,121.0765,803159,admin,"4,198.21",,,,11.38425773,10.42969051,858.3059082,968.2109749,15.17772678,390.1705107,553.6806721,11.05884948,5.330676362,0,780.1094088,18.66565188,29.54586038,1039.695862,11.30381466,16.25881455,13.35348703,28.37593922,5.945148727,16.08998525,477.3575096,456.7425472,20.27247029,39.17826785,565.9709158,20.92955008,83.96407825,10.26816712,29.16224803,18.34265312,8.315775495,5.453836354,27.1495174,25.63320132,9.293487097,6.103952649,115.5030888,16.71957041,4.799227235,69.4906649,791.003177,212.277359,563.236201,784.2360541,32.17295347,67.39819833,81.64543643,250.2231795,104.1012187,22.56885265,886.6337302,17.36366367,30.325352,591.6369025,944.3637028,38.2774631,90.68840673,31.45846714,60.75831479,91.35815183,15.93414018,564.89108,42.4477976,90.75949057,25.9531013,563.1260681,18.70350214,549.8762953,23.2473321,54.58040975,859.9127948,38.30626581,791.6708227,327.6707688,950.7935578,542.3237143,808.6537197,170.9331254,7.272194819,543.3974613,986.5073721,54.01281019,486.3477642,838.1253668,985.8911089,471.1931794,362.2031479,376.875357,183.072966,65.6777881,68.39814243,1024.9436,30.1149564,65.93264365,715.5405312,96.28732809,47.65113293,346.5663252,81.85207209,42.47886104
