1,2,3,4,5,6,7
435060,157600,69386870.62,37258294.47,6333339.151,29273155.32,0
8396080,25148200,68664149.8,21190442.06,22223095.95,44869362.9,866750
6171540,18149390,20798683.21,53234254.57,9785788.299,17769049.69,6914660
275761340,30862460,8888373.59,13817489.05,1352473.868,17733730.39,1478800
1269640,19952980,29283102.33,45411225.13,9375835.523,67292849.29,2298400
179216140,288751030,21110824.07,34309259.81,53506811.61,47700613.62,28490940
82146580,127763660,73215458.81,20427903.8,47036418.91,50425505.67,3692640
3516470,444180,55997019.86,21376022.43,50231288.44,49301646.51,269920
195128340,13308150,7971404.72,18673.08392,15437369.67,67219291.81,2266100
15314120,884870,34594237.1,7989161.374,40604231.01,5391570.787,5617950
6861720,701560,35114517.01,20653077.85,34175924.08,6113240.836,108540
15459020,769140,3818440.594,27325683.9,41372775.86,24832614.57,815080
29171280,2902240,2915809.48,10235972.25,13985111.4,51485486.22,13373170
40286160,6045300,36537715.03,9212389.388,10252071.53,22397999.86,2122590
10770140,823140,22115491.05,13672131.96,8757691.044,11930463.7,266290
14619740,18590570,12736016.78,19661472.71,10843827.28,28926403.93,404990
