index i,Name of Processing Facility/city,Lat,Lon,Operational Cost,Processing Capacity
1,Navotas Fish port complex,14.64638613,120.9499897,84619.31833,20747658.97
2,Cebu City,10.28976687,123.8920479,97099.63953,125916582.8
3,Taguig City,14.51869425,121.0523714,198342.1703,184836774
4,Pasig City,14.54900765,121.1206529,49229.2431,16168077.56
5,Cagayan de Oro,8.518486578,124.6395919,38051.95282,44446419.25
6,Valenzuela,14.71066668,120.9369683,14591.60603,244910600
7,City of Paranaque,14.50309937,120.9891034,8090.332418,8695362.469
8,Bacoor,14.45989,120.93201,31756.18297,50175570.49
9,Tondo,14.60538468,120.9604636,19108.31002,14871741.65
11,Pasil,10.91589,123.03896,28235.09141,4742982.063
12,Iloilo,10.68877366,122.5573527,144095.5201,4187081.432
13,Muntinlupa City,14.40482236,121.0475244,30322.80779,170897271.9
14,City of Calamba,14.28055,121.14861,84257.74879,58716340.7
15,Lapu-Lapu City,10.31170514,123.9433014,57436.38522,109630664.4
16,Pasay City,14.50256949,120.9956222,146781.6429,43797964.72
17,Binan,14.33251449,121.1007822,95542.13715,207629372.3
18,Sampaloc,14.60227236,120.9956503,93184.27101,12878744.9
19,Taytay,14.55066636,121.1240326,13124.44637,139324805.5
20,Malabon,14.65374819,120.9496873,17189.41109,50515947.72
21,Cainta,14.55090218,121.1161026,147481.1463,6462901.339
22,Butuan,8.957470332,125.5513514,91999.41221,45836896.41
23,Mandaue City,10.35217779,123.9368428,205718.1557,10291124.09
24,Iligan,8.233084438,124.2345901,122365.3378,11439558.41
25,Cabuyao,14.28077393,121.1493407,116854.4324,41539590.3
26,Cotabato,7.22535686,124.2488978,64918.3404,27745750.88
27,Binangonan,14.46212028,121.192137,106071.0354,95436344.89
28,Tanza,14.4067183,120.8508548,90699.84911,66955913.85
29,Puerto Princesa,9.726429819,118.7756601,70181.38808,127175705.9
30,Tagum,7.36369,125.81879,124691.1329,41877917.76
31,Lucena,13.90361458,121.6228648,47485.01869,143416153.7
32,Talisay,10.74527,122.9606,177455.2685,122380831.8
33,Pamarawan,14.7592,120.81548,82466.6884,50886642.11
34,Banicain,14.82888,120.27386,43013.15151,81922929.64
35,Marilao,14.74971917,120.9154957,62411.19417,164494683.9
36,Tacloban,11.24726592,124.9984342,52732.97717,48885006.58
37,Navotas,14.6426596,120.9517493,98109.37257,130079223.6
38,Ormoc,11.0053038,124.6031952,33083.09995,6055459.193
39,Meycauayan,14.75203148,120.9109136,96140.73058,2353032.629
41,Pagadian,7.820106832,123.4461224,55524.17621,56476004.23
42,Legazpi City,13.13996901,123.7624196,64831.22542,176388547.3
43,Panabo,7.289824424,125.6952064,18608.12125,162834463.7
44,Toledo,10.37754639,123.6371007,8155.785518,12811672.89
45,Marawi City,7.98440539,124.2796296,213588.7652,88347319.27
46,San Carlos City,10.47778681,123.422999,116976.9959,4590871.305
47,Santa Ana,18.50962739,122.1504818,60582.60788,45129325.15
48,Tanauan,14.05699252,121.0771627,41103.05498,46840350.57
49,Calbayog City,12.06656289,124.5943074,118073.3256,37000211.43
50,Sorsogon,13.04095,124.04535,35649.01685,75039746.48
51,Roxas City,11.59642223,122.722769,114653.6308,42543687.77
52,Dagupan City,16.04333239,120.3372215,74798.12176,145024980.4
54,Mabua,9.80578,125.43974,21213.56576,156136876.8
55,Sariaya,13.86258712,121.5062729,60704.41126,64620189.87
56,Naic,14.32024633,120.7555674,198949.8739,46752024.73
