index j,Name of City,Lat,Lon,Population,Status,GDP per Capita
1,Manila,14.5958,120.9772,24922000,primary,257835.47
2,Quezon City,14.65,121.0475,2960048,admin,238272.05
3,Zamboanga City,6.9042,122.0761,2100000,admin,246222.58
4,Davao,7.07,125.6,1776949,admin,223413.36
5,Caloocan City,14.65,120.97,1661584,admin,247636.9
6,Canagatan,18,121.8,1273219,0,201924.09
7,Cebu City,10.32,123.75,964169,admin,242673.74
8,Antipolo,14.5842,121.1763,887399,admin,216962.43
9,Taguig City,14.52,121.05,886722,admin,214927.42
10,Pasig City,14.5605,121.0765,803159,admin,233379.96
11,Cagayan de Oro,8.48,124.65,728402,admin,215775.54
12,Valenzuela,14.7,120.98,714978,admin,258318.96
13,Dasmarinas,14.33,120.94,703141,0,185796.78
14,General Santos,6.12,125.17,697315,admin,219134.85
15,City of Paranaque,14.5008,120.9915,689992,admin,220745.81
16,Bacoor,14.4624,120.9645,664625,0,212839.49
17,Tondo,14.617,120.967,654220,0,201229.17
18,San Jose del Monte,14.8139,121.0453,651813,0,203801.56
19,Makati City,14.5567,121.0214,629616,admin,257316.85
20,Las Pinas City,14.45,120.98,606293,0,200488.84
21,Bacolod,10.6765,122.9509,600783,admin,220558.65
22,Iloilo,10.72,122.57,574000,admin,243825.1
23,Muntinlupa City,14.38,121.05,543445,admin,247300.5
24,City of Calamba,14.22,121.17,539671,0,182152.39
25,Lapu-Lapu City,10.3127,123.9488,497604,admin,245850.64
26,Imus,14.4297,120.9367,496794,0,199039.77
27,Angeles City,15.1472,120.5847,462928,admin,257774.07
28,Marikina City,14.65,121.1,456059,admin,259280.79
29,General Trias,14.38,120.88,450583,0,178312.55
30,Rodriguez,14.72,121.12,443954,0,202008.98
31,Pasay City,14.55,121,440656,admin,248084.66
32,Mandaluyong City,14.58,121.03,425758,admin,221802.4
33,Santa Rosa,14.32,121.12,414812,0,194491.19
34,Binan,14.33,121.08,407437,0,191924.72
35,Sampaloc,14.6031,121.0022,388305,0,209066.78
36,Taytay,14.5692,121.1325,386451,0,205925.81
37,Tarlac City,15.4869,120.59,385398,admin,220610.77
38,Malabon,14.66,120.96,380522,admin,258219.46
39,Cainta,14.57,121.12,376933,0,212896.75
40,Lipa City,13.9411,121.1622,372931,0,186369.3
41,Butuan,8.948,125.543,372910,admin,226287.02
42,Baguio City,16.4119,120.5933,366358,admin,256888.05
43,Mandaue City,10.33,123.93,364116,admin,258541.65
44,Iligan,8.23,124.25,363115,admin,233567.11
45,Cabuyao,14.275,121.125,355330,0,194933.42
46,San Fernando,15.03,120.68,354666,admin,233991.17
47,Batangas,13.83,121,351437,admin,243910.39
48,Naga City,13.6244,123.1864,342769,admin,216514.68
49,Cabanatuan City,15.4908,120.9678,327325,0,195612.54
50,San Pedro,14.3583,121.0583,326001,0,192418.27
51,Cotabato,7.22,124.25,325079,admin,235687.41
52,Binangonan,14.4514,121.1919,313631,0,201766.15
53,Tanza,14.3944,120.8531,312116,0,200001.21
54,Puerto Princesa,9.75,118.75,307079,admin,260491.38
55,Tagum,7.4478,125.8078,296202,admin,235789.28
56,Silang,14.2306,120.975,295644,0,215557.98
57,Mabalacat,15.22,120.58,293244,0,198441.59
58,Santa Maria,14.82,120.96,289820,0,186610.15
59,San Pablo,14.07,121.325,285348,0,192078.71
60,Lucena,13.93,121.62,278924,admin,217403.08
61,San Mateo,14.6969,121.1219,273306,0,193464.6
62,Talisay,10.25,123.83,263048,0,186177.8
63,Malolos,14.8433,120.8114,261189,admin,250873.03
64,Olongapo,14.83,120.28,260317,admin,241981.98
65,Marilao,14.7581,120.9481,254453,0,178628.42
66,Tacloban,11.24,125,251881,admin,242266.27
67,Navotas,14.6667,120.9417,247543,admin,220508.9
68,Ormoc,11.0106,124.6075,230998,admin,237983.02
69,Meycauayan,14.73,120.95,225673,0,203033.6
70,Santo Tomas,14.08,121.18,218500,0,213516.65
71,Valencia,7.9042,125.0928,216546,0,210466.49
72,Trece Martires City,14.28,120.87,210503,admin,249352.1
73,Pagadian,7.8272,123.4364,210452,admin,219492.58
74,Legazpi City,13.13,123.73,209533,admin,219407.29
75,Panabo,7.3,125.68,209230,0,195115.04
76,Toledo,10.38,123.65,207314,0,199772.2
77,Marawi City,8.0031,124.285,207010,admin,241001.19
78,San Carlos City,15.9281,120.3489,205424,0,203061.24
79,Santa Ana,14.58,121.012,203598,0,213670.64
80,Kabankalan,9.98,122.82,200198,0,195914.6
81,Koronadal,6.5,124.85,195398,0,206634.55
82,Tanauan,14.08,121.15,193936,0,211011.38
83,Bago,10.5388,122.8384,191210,0,201389.08
84,Malaybalay,8.1564,125.1333,190712,admin,239852.2
85,Digos,6.75,125.35,188376,admin,253649.56
86,Calbayog City,12.07,124.6,186960,0,194866.29
87,Sorsogon,12.9742,124.0058,182237,admin,256708
88,Roxas City,11.5894,122.7511,179292,admin,237592.13
89,Dagupan City,16.043,120.334,174302,admin,230823.75
90,Lubao,14.93,120.6,173502,0,189024.61
91,Mexico,15.07,120.72,173403,0,216233.16
92,Polomolok,6.22,125.07,172605,0,179637.24
93,General Mariano Alvarez,14.3,121,172433,0,188929.85
94,San Miguel,15.1458,120.9783,172073,0,180470.36
95,Surigao,9.7897,125.4958,171107,admin,255016.5
96,Concepcion,15.3249,120.6554,169953,0,216908.34
97,Baliuag,14.954,120.901,168470,0,214663.66
98,Tuguegarao,17.6133,121.7303,166334,admin,238750.59
99,Sariaya,13.97,121.53,161868,0,185579.61
100,Naic,14.32,120.77,160987,0,187192.54
