index j,Name of City,city id,Lat,Lon,Population (what year?),Status,Average Yearly Budget of a Person to buy Fish,Minimum Fish Consumption,Maximum Fish Consumption,Units
1,Manila,1608618140,14.5958,120.9772,24922000,primary,"4,548.06",,,
2,Quezon City,1608974097,14.65,121.0475,2960048,admin,"4,198.21",,,
3,Zamboanga City,1608189351,6.9042,122.0761,2100000,admin,"4,198.21",,,
4,Davao,1608906877,7.07,125.6,1776949,admin,"4,198.21",,,
5,Caloocan City,1608897690,14.65,120.97,1661584,admin,"4,198.21",,,
6,Canagatan,1608697675,18,121.8,1273219,0,"3,498.51",,,
7,Cebu City,1608136151,10.32,123.75,964169,admin,"4,198.21",,,
8,Antipolo,1608824345,14.5842,121.1763,887399,admin,"4,198.21",,,
9,Taguig City,1608766695,14.52,121.05,886722,admin,"4,198.21",,,
10,Pasig City,1608278212,14.5605,121.0765,803159,admin,"4,198.21",,,
11,Cagayan de Oro,1608831546,8.48,124.65,728402,admin,"4,198.21",,,
12,Valenzuela,1608492120,14.7,120.98,714978,admin,"4,198.21",,,
13,Dasmarinas,1608418544,14.33,120.94,703141,0,"3,498.51",,,
14,General Santos,1608171585,6.12,125.17,697315,admin,"4,198.21",,,
15,City of Paranaque,1608379532,14.5008,120.9915,689992,admin,"4,198.21",,,
16,Bacoor,1608869358,14.4624,120.9645,664625,0,"3,498.51",,,
17,Tondo,1608204201,14.617,120.967,654220,0,"3,498.51",,,
18,San Jose del Monte,1608850554,14.8139,121.0453,651813,0,"3,498.51",,,
19,Makati City,1608725647,14.5567,121.0214,629616,admin,"4,198.21",,,
20,Las Pinas City,1608544537,14.45,120.98,606293,0,"3,498.51",,,
21,Bacolod,1608244137,10.6765,122.9509,600783,admin,"4,198.21",,,
22,Iloilo,1608875987,10.72,122.57,574000,admin,"4,198.21",,,
23,Muntinlupa City,1608473406,14.38,121.05,543445,admin,"4,198.21",,,
24,City of Calamba,1608985581,14.22,121.17,539671,0,"3,498.51",,,
25,Lapu-Lapu City,1608430676,10.3127,123.9488,497604,admin,"4,198.21",,,
26,Imus,1608802508,14.4297,120.9367,496794,0,"3,498.51",,,
27,Angeles City,1608036027,15.1472,120.5847,462928,admin,"4,198.21",,,
28,Marikina City,1608000077,14.65,121.1,456059,admin,"4,198.21",,,
29,General Trias,1608826995,14.38,120.88,450583,0,"3,498.51",,,
30,Rodriguez,1608543530,14.72,121.12,443954,0,"3,498.51",,,
31,Pasay City,1608448280,14.55,121,440656,admin,"4,198.21",,,
32,Mandaluyong City,1608166320,14.58,121.03,425758,admin,"4,198.21",,,
33,Santa Rosa,1608571683,14.32,121.12,414812,0,"3,498.51",,,
34,Binan,1608039268,14.33,121.08,407437,0,"3,498.51",,,
35,Sampaloc,1608298987,14.6031,121.0022,388305,0,"3,498.51",,,
36,Taytay,1608530771,14.5692,121.1325,386451,0,"3,498.51",,,
37,Tarlac City,1608237027,15.4869,120.59,385398,admin,"4,198.21",,,
38,Malabon,1608045841,14.66,120.96,380522,admin,"4,198.21",,,
39,Cainta,1608314665,14.57,121.12,376933,0,"3,498.51",,,
40,Lipa City,1608615113,13.9411,121.1622,372931,0,"3,498.51",,,
41,Butuan,1608000722,8.948,125.543,372910,admin,"4,198.21",,,
42,Baguio City,1608164766,16.4119,120.5933,366358,admin,"4,198.21",,,
43,Mandaue City,1608794590,10.33,123.93,364116,admin,"4,198.21",,,
44,Iligan,1608000268,8.23,124.25,363115,admin,"4,198.21",,,
45,Cabuyao,1608604441,14.275,121.125,355330,0,"3,498.51",,,
46,San Fernando,1608862124,15.03,120.68,354666,admin,"4,198.21",,,
47,Batangas,1608417616,13.83,121,351437,admin,"4,198.21",,,
48,Naga City,1608775993,13.6244,123.1864,342769,admin,"4,198.21",,,
49,Cabanatuan City,1608247694,15.4908,120.9678,327325,0,"3,498.51",,,
50,San Pedro,1608848483,14.3583,121.0583,326001,0,"3,498.51",,,
51,Cotabato,1608753128,7.22,124.25,325079,admin,"4,198.21",,,
52,Binangonan,1608102511,14.4514,121.1919,313631,0,"3,498.51",,,
53,Tanza,1608010777,14.3944,120.8531,312116,0,"3,498.51",,,
54,Puerto Princesa,1608455700,9.75,118.75,307079,admin,"4,198.21",,,
55,Tagum,1608755366,7.4478,125.8078,296202,admin,"4,198.21",,,
56,Silang,1608301996,14.2306,120.975,295644,0,"3,498.51",,,
57,Mabalacat,1608402560,15.22,120.58,293244,0,"3,498.51",,,
58,Santa Maria,1608186208,14.82,120.96,289820,0,"3,498.51",,,
59,San Pablo,1608801564,14.07,121.325,285348,0,"3,498.51",,,
60,Lucena,1608000461,13.93,121.62,278924,admin,"4,198.21",,,
61,San Mateo,1608557779,14.6969,121.1219,273306,0,"3,498.51",,,
62,Talisay,1608040297,10.25,123.83,263048,0,"3,498.51",,,
63,Malolos,1608358783,14.8433,120.8114,261189,admin,"4,198.21",,,
64,Olongapo,1608001640,14.83,120.28,260317,admin,"4,198.21",,,
65,Marilao,1608371779,14.7581,120.9481,254453,0,"3,498.51",,,
66,Tacloban,1608710592,11.24,125,251881,admin,"4,198.21",,,
67,Navotas,1608538447,14.6667,120.9417,247543,admin,"4,198.21",,,
68,Ormoc,1608269612,11.0106,124.6075,230998,admin,"4,198.21",,,
69,Meycauayan,1608553352,14.73,120.95,225673,0,"3,498.51",,,
70,Santo Tomas,1608845898,14.08,121.18,218500,0,"3,498.51",,,
71,Valencia,1608418474,7.9042,125.0928,216546,0,"3,498.51",,,
72,Trece Martires City,1608990723,14.28,120.87,210503,admin,"4,198.21",,,
73,Pagadian,1608329397,7.8272,123.4364,210452,admin,"4,198.21",,,
74,Legazpi City,1608693683,13.13,123.73,209533,admin,"4,198.21",,,
75,Panabo,1608577408,7.3,125.68,209230,0,"3,498.51",,,
76,Toledo,1608665464,10.38,123.65,207314,0,"3,498.51",,,
77,Marawi City,1608812117,8.0031,124.285,207010,admin,"4,198.21",,,
78,San Carlos City,1608542323,15.9281,120.3489,205424,0,"3,498.51",,,
79,Santa Ana,1608404042,14.58,121.012,203598,0,"3,498.51",,,
80,Kabankalan,1608697923,9.98,122.82,200198,0,"3,498.51",,,
81,Koronadal,1608000651,6.5,124.85,195398,0,"3,498.51",,,
82,Tanauan,1608053818,14.08,121.15,193936,0,"3,498.51",,,
83,Bago,1608943172,10.5388,122.8384,191210,0,"3,498.51",,,
84,Malaybalay,1608859265,8.1564,125.1333,190712,admin,"4,198.21",,,
85,Digos,1608635653,6.75,125.35,188376,admin,"4,198.21",,,
86,Calbayog City,1608088739,12.07,124.6,186960,0,"3,498.51",,,
87,Sorsogon,1608265953,12.9742,124.0058,182237,admin,"4,198.21",,,
88,Roxas City,1608344583,11.5894,122.7511,179292,admin,"4,198.21",,,
89,Dagupan City,1608530964,16.043,120.334,174302,admin,"4,198.21",,,
90,Lubao,1608215915,14.93,120.6,173502,0,"3,498.51",,,
91,Mexico,1608191667,15.07,120.72,173403,0,"3,498.51",,,
92,Polomolok,1608490461,6.22,125.07,172605,0,"3,498.51",,,
93,General Mariano Alvarez,1608815735,14.3,121,172433,0,"3,498.51",,,
94,San Miguel,1608046677,15.1458,120.9783,172073,0,"3,498.51",,,
95,Surigao,1608611556,9.7897,125.4958,171107,admin,"4,198.21",,,
96,Concepcion,1608682956,15.3249,120.6554,169953,0,"3,498.51",,,
97,Baliuag,1608703693,14.954,120.901,168470,0,"3,498.51",,,
98,Tuguegarao,1608110634,17.6133,121.7303,166334,admin,"4,198.21",,,
99,Sariaya,1608396060,13.97,121.53,161868,0,"3,498.51",,,
100,Naic,1608196842,14.32,120.77,160987,0,"3,498.51",,,
